,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
10541,Greater Sydney,Outer Ring,Northern Beaches,Townhouse,4 or more Bedrooms,1050.0,s,97,2018-03-31
10542,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,Total,600.0,1557,14272,2018-03-31
10543,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,Bedsitter,,,138,2018-03-31
10544,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,1 Bedroom,500.0,458,3852,2018-03-31
10545,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,Not Specified,520.0,s,808,2018-03-31
10546,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,2 Bedrooms,635.0,912,8162,2018-03-31
10547,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,3 Bedrooms,935.0,144,1219,2018-03-31
10548,Greater Sydney,Outer Ring,Northern Beaches,Flat/Unit,4 or more Bedrooms,,,93,2018-03-31
10556,Greater Sydney,Outer Ring,Penrith,House,Total,465.0,1012,9787,2018-03-31
10557,Greater Sydney,Outer Ring,Penrith,House,Bedsitter,,,34,2018-03-31
10558,Greater Sydney,Outer Ring,Penrith,House,1 Bedroom,250.0,s,81,2018-03-31
10559,Greater Sydney,Outer Ring,Penrith,House,Not Specified,460.0,35,663,2018-03-31
10560,Greater Sydney,Outer Ring,Penrith,House,2 Bedrooms,350.0,95,647,2018-03-31
10561,Greater Sydney,Outer Ring,Penrith,House,3 Bedrooms,430.0,495,5262,2018-03-31
10562,Greater Sydney,Outer Ring,Penrith,House,4 or more Bedrooms,550.0,368,3100,2018-03-31
10563,Greater Sydney,Outer Ring,Penrith,Other,Total,360.0,147,2652,2018-03-31
10564,Greater Sydney,Outer Ring,Penrith,Other,Bedsitter,,,s,2018-03-31
10565,Greater Sydney,Outer Ring,Penrith,Other,1 Bedroom,240.0,s,200,2018-03-31
10566,Greater Sydney,Outer Ring,Penrith,Other,Not Specified,380.0,s,670,2018-03-31
10567,Greater Sydney,Outer Ring,Penrith,Other,2 Bedrooms,327.5,52,668,2018-03-31
10568,Greater Sydney,Outer Ring,Penrith,Other,3 Bedrooms,400.0,33,843,2018-03-31
10569,Greater Sydney,Outer Ring,Penrith,Other,4 or more Bedrooms,540.0,s,250,2018-03-31
10570,Greater Sydney,Outer Ring,Penrith,Townhouse,Total,415.0,238,2253,2018-03-31
10571,Greater Sydney,Outer Ring,Penrith,Townhouse,Bedsitter,,,,2018-03-31
10572,Greater Sydney,Outer Ring,Penrith,Townhouse,1 Bedroom,,,40,2018-03-31
10573,Greater Sydney,Outer Ring,Penrith,Townhouse,Not Specified,,,116,2018-03-31
10574,Greater Sydney,Outer Ring,Penrith,Townhouse,2 Bedrooms,390.0,34,299,2018-03-31
10575,Greater Sydney,Outer Ring,Penrith,Townhouse,3 Bedrooms,412.5,160,1631,2018-03-31
10576,Greater Sydney,Outer Ring,Penrith,Townhouse,4 or more Bedrooms,480.0,31,164,2018-03-31
10577,Greater Sydney,Outer Ring,Penrith,Flat/Unit,Total,380.0,401,3073,2018-03-31
10578,Greater Sydney,Outer Ring,Penrith,Flat/Unit,Bedsitter,,,,2018-03-31
10579,Greater Sydney,Outer Ring,Penrith,Flat/Unit,1 Bedroom,330.0,61,434,2018-03-31
10580,Greater Sydney,Outer Ring,Penrith,Flat/Unit,Not Specified,,,175,2018-03-31
10581,Greater Sydney,Outer Ring,Penrith,Flat/Unit,2 Bedrooms,375.0,305,2206,2018-03-31
10582,Greater Sydney,Outer Ring,Penrith,Flat/Unit,3 Bedrooms,405.0,s,237,2018-03-31
10583,Greater Sydney,Outer Ring,Penrith,Flat/Unit,4 or more Bedrooms,,,s,2018-03-31
10591,Greater Sydney,Outer Ring,Sutherland Shire,House,Total,700.0,386,3523,2018-03-31
10592,Greater Sydney,Outer Ring,Sutherland Shire,House,Bedsitter,,,,2018-03-31
10593,Greater Sydney,Outer Ring,Sutherland Shire,House,1 Bedroom,,,59,2018-03-31
10594,Greater Sydney,Outer Ring,Sutherland Shire,House,Not Specified,,,124,2018-03-31
10595,Greater Sydney,Outer Ring,Sutherland Shire,House,2 Bedrooms,535.0,56,465,2018-03-31
10596,Greater Sydney,Outer Ring,Sutherland Shire,House,3 Bedrooms,655.0,166,1643,2018-03-31
10597,Greater Sydney,Outer Ring,Sutherland Shire,House,4 or more Bedrooms,850.0,147,1229,2018-03-31
10598,Greater Sydney,Outer Ring,Sutherland Shire,Other,Total,510.0,62,1574,2018-03-31
10599,Greater Sydney,Outer Ring,Sutherland Shire,Other,Bedsitter,,,s,2018-03-31
10600,Greater Sydney,Outer Ring,Sutherland Shire,Other,1 Bedroom,,,241,2018-03-31
10601,Greater Sydney,Outer Ring,Sutherland Shire,Other,Not Specified,,,277,2018-03-31
10602,Greater Sydney,Outer Ring,Sutherland Shire,Other,2 Bedrooms,510.0,s,644,2018-03-31
10603,Greater Sydney,Outer Ring,Sutherland Shire,Other,3 Bedrooms,700.0,s,298,2018-03-31
10604,Greater Sydney,Outer Ring,Sutherland Shire,Other,4 or more Bedrooms,,,93,2018-03-31
10605,Greater Sydney,Outer Ring,Sutherland Shire,Townhouse,Total,650.0,168,1576,2018-03-31
10606,Greater Sydney,Outer Ring,Sutherland Shire,Townhouse,1 Bedroom,,,35,2018-03-31
10607,Greater Sydney,Outer Ring,Sutherland Shire,Townhouse,Not Specified,,,48,2018-03-31
10608,Greater Sydney,Outer Ring,Sutherland Shire,Townhouse,2 Bedrooms,550.0,34,397,2018-03-31
10609,Greater Sydney,Outer Ring,Sutherland Shire,Townhouse,3 Bedrooms,670.0,108,998,2018-03-31
10610,Greater Sydney,Outer Ring,Sutherland Shire,Townhouse,4 or more Bedrooms,950.0,s,98,2018-03-31
10611,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,Total,490.0,763,7772,2018-03-31
10612,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,Bedsitter,,,,2018-03-31
10613,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,1 Bedroom,400.0,169,1381,2018-03-31
10614,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,Not Specified,435.0,s,194,2018-03-31
10615,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,2 Bedrooms,500.0,514,5448,2018-03-31
10616,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,3 Bedrooms,650.0,67,710,2018-03-31
10617,Greater Sydney,Outer Ring,Sutherland Shire,Flat/Unit,4 or more Bedrooms,,,s,2018-03-31
10625,Greater Sydney,Outer Ring,The Hills Shire,House,Total,650.0,627,4831,2018-03-31
10626,Greater Sydney,Outer Ring,The Hills Shire,House,Bedsitter,,,,2018-03-31
10627,Greater Sydney,Outer Ring,The Hills Shire,House,1 Bedroom,,,32,2018-03-31
10628,Greater Sydney,Outer Ring,The Hills Shire,House,Not Specified,650.0,s,323,2018-03-31
10629,Greater Sydney,Outer Ring,The Hills Shire,House,2 Bedrooms,470.0,s,184,2018-03-31
10630,Greater Sydney,Outer Ring,The Hills Shire,House,3 Bedrooms,600.0,147,1202,2018-03-31
10631,Greater Sydney,Outer Ring,The Hills Shire,House,4 or more Bedrooms,695.0,428,3088,2018-03-31
10632,Greater Sydney,Outer Ring,The Hills Shire,Other,Total,570.0,83,998,2018-03-31
10633,Greater Sydney,Outer Ring,The Hills Shire,Other,Bedsitter,,,,2018-03-31
10634,Greater Sydney,Outer Ring,The Hills Shire,Other,1 Bedroom,,,62,2018-03-31
10635,Greater Sydney,Outer Ring,The Hills Shire,Other,Not Specified,580.0,50,426,2018-03-31
10636,Greater Sydney,Outer Ring,The Hills Shire,Other,2 Bedrooms,450.0,s,141,2018-03-31
10637,Greater Sydney,Outer Ring,The Hills Shire,Other,3 Bedrooms,,,211,2018-03-31
10638,Greater Sydney,Outer Ring,The Hills Shire,Other,4 or more Bedrooms,,,152,2018-03-31
10639,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,Total,580.0,105,1106,2018-03-31
10640,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,Bedsitter,,,,2018-03-31
10641,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,1 Bedroom,,,s,2018-03-31
10642,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,Not Specified,,,56,2018-03-31
10643,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,2 Bedrooms,500.0,s,157,2018-03-31
10644,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,3 Bedrooms,590.0,68,733,2018-03-31
10645,Greater Sydney,Outer Ring,The Hills Shire,Townhouse,4 or more Bedrooms,660.0,s,141,2018-03-31
10646,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,Total,520.0,268,1682,2018-03-31
10647,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,Bedsitter,,,,2018-03-31
10648,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,1 Bedroom,445.0,46,272,2018-03-31
10649,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,Not Specified,,,86,2018-03-31
10650,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,2 Bedrooms,520.0,173,968,2018-03-31
10651,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,3 Bedrooms,600.0,36,326,2018-03-31
10652,Greater Sydney,Outer Ring,The Hills Shire,Flat/Unit,4 or more Bedrooms,,,s,2018-03-31
10660,Greater Sydney,Outer Ring,Wollondilly,House,Total,450.0,147,1450,2018-03-31
10661,Greater Sydney,Outer Ring,Wollondilly,House,Bedsitter,,,,2018-03-31
10662,Greater Sydney,Outer Ring,Wollondilly,House,1 Bedroom,,,s,2018-03-31
10663,Greater Sydney,Outer Ring,Wollondilly,House,Not Specified,,,53,2018-03-31
10664,Greater Sydney,Outer Ring,Wollondilly,House,2 Bedrooms,360.0,s,143,2018-03-31
10665,Greater Sydney,Outer Ring,Wollondilly,House,3 Bedrooms,425.0,58,725,2018-03-31
10666,Greater Sydney,Outer Ring,Wollondilly,House,4 or more Bedrooms,550.0,58,505,2018-03-31
10667,Greater Sydney,Outer Ring,Wollondilly,Other,Total,430.0,s,266,2018-03-31
10668,Greater Sydney,Outer Ring,Wollondilly,Other,Bedsitter,,,,2018-03-31
10669,Greater Sydney,Outer Ring,Wollondilly,Other,1 Bedroom,,,s,2018-03-31
10670,Greater Sydney,Outer Ring,Wollondilly,Other,Not Specified,,,94,2018-03-31
10671,Greater Sydney,Outer Ring,Wollondilly,Other,2 Bedrooms,,,31,2018-03-31
10672,Greater Sydney,Outer Ring,Wollondilly,Other,3 Bedrooms,,,66,2018-03-31
10673,Greater Sydney,Outer Ring,Wollondilly,Other,4 or more Bedrooms,,,45,2018-03-31
10674,Greater Sydney,Outer Ring,Wollondilly,Townhouse,Total,387.5,s,81,2018-03-31
10675,Greater Sydney,Outer Ring,Wollondilly,Townhouse,1 Bedroom,,,,2018-03-31
10676,Greater Sydney,Outer Ring,Wollondilly,Townhouse,Not Specified,,,,2018-03-31
10677,Greater Sydney,Outer Ring,Wollondilly,Townhouse,2 Bedrooms,,,36,2018-03-31
10678,Greater Sydney,Outer Ring,Wollondilly,Townhouse,3 Bedrooms,,,32,2018-03-31
10679,Greater Sydney,Outer Ring,Wollondilly,Townhouse,4 or more Bedrooms,,,,2018-03-31
10680,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,Total,315.0,s,194,2018-03-31
10681,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,Bedsitter,,,,2018-03-31
10682,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,1 Bedroom,,,50,2018-03-31
10683,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,Not Specified,,,,2018-03-31
10684,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,2 Bedrooms,340.0,s,109,2018-03-31
10685,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,3 Bedrooms,,,s,2018-03-31
10686,Greater Sydney,Outer Ring,Wollondilly,Flat/Unit,4 or more Bedrooms,,,,2018-03-31
42418,Greater Sydney,Inner Ring,Inner West,House,Total,800.0,620,5680,2018-06-30
42419,Greater Sydney,Inner Ring,Inner West,House,Bedsitter,,,33,2018-06-30
42420,Greater Sydney,Inner Ring,Inner West,House,1 Bedroom,470.0,36,258,2018-06-30
42421,Greater Sydney,Inner Ring,Inner West,House,Not Specified,,,307,2018-06-30
42422,Greater Sydney,Inner Ring,Inner West,House,2 Bedrooms,720.0,235,1892,2018-06-30
42423,Greater Sydney,Inner Ring,Inner West,House,3 Bedrooms,892.5,246,2296,2018-06-30
42424,Greater Sydney,Inner Ring,Inner West,House,4 or more Bedrooms,1100.0,90,894,2018-06-30
42425,Greater Sydney,Inner Ring,Inner West,Other,Total,550.0,204,4943,2018-06-30
42426,Greater Sydney,Inner Ring,Inner West,Other,Bedsitter,330.0,s,286,2018-06-30
42427,Greater Sydney,Inner Ring,Inner West,Other,1 Bedroom,387.5,34,671,2018-06-30
42428,Greater Sydney,Inner Ring,Inner West,Other,Not Specified,650.0,123,2663,2018-06-30
42429,Greater Sydney,Inner Ring,Inner West,Other,2 Bedrooms,600.0,s,921,2018-06-30
42430,Greater Sydney,Inner Ring,Inner West,Other,3 Bedrooms,800.0,s,330,2018-06-30
42431,Greater Sydney,Inner Ring,Inner West,Other,4 or more Bedrooms,,,72,2018-06-30
42432,Greater Sydney,Inner Ring,Inner West,Townhouse,Total,750.0,159,2649,2018-06-30
42433,Greater Sydney,Inner Ring,Inner West,Townhouse,Bedsitter,,,,2018-06-30
42434,Greater Sydney,Inner Ring,Inner West,Townhouse,1 Bedroom,435.0,s,175,2018-06-30
42435,Greater Sydney,Inner Ring,Inner West,Townhouse,Not Specified,,,103,2018-06-30
42436,Greater Sydney,Inner Ring,Inner West,Townhouse,2 Bedrooms,680.0,68,1238,2018-06-30
42437,Greater Sydney,Inner Ring,Inner West,Townhouse,3 Bedrooms,880.0,63,948,2018-06-30
42438,Greater Sydney,Inner Ring,Inner West,Townhouse,4 or more Bedrooms,1110.0,s,181,2018-06-30
42439,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Total,520.0,1605,16530,2018-06-30
42440,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Bedsitter,360.0,66,568,2018-06-30
42441,Greater Sydney,Inner Ring,Inner West,Flat/Unit,1 Bedroom,460.0,619,5539,2018-06-30
42442,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Not Specified,400.0,51,1013,2018-06-30
42443,Greater Sydney,Inner Ring,Inner West,Flat/Unit,2 Bedrooms,550.0,794,8499,2018-06-30
42444,Greater Sydney,Inner Ring,Inner West,Flat/Unit,3 Bedrooms,780.0,70,845,2018-06-30
42445,Greater Sydney,Inner Ring,Inner West,Flat/Unit,4 or more Bedrooms,,,66,2018-06-30
42453,Greater Sydney,Inner Ring,Lane Cove,House,Total,995.0,74,681,2018-06-30
42454,Greater Sydney,Inner Ring,Lane Cove,House,Bedsitter,,,,2018-06-30
42455,Greater Sydney,Inner Ring,Lane Cove,House,1 Bedroom,,,s,2018-06-30
42456,Greater Sydney,Inner Ring,Lane Cove,House,Not Specified,,,56,2018-06-30
42457,Greater Sydney,Inner Ring,Lane Cove,House,2 Bedrooms,,,86,2018-06-30
42458,Greater Sydney,Inner Ring,Lane Cove,House,3 Bedrooms,925.0,31,260,2018-06-30
42459,Greater Sydney,Inner Ring,Lane Cove,House,4 or more Bedrooms,1320.0,33,256,2018-06-30
42460,Greater Sydney,Inner Ring,Lane Cove,Other,Total,640.0,s,267,2018-06-30
42461,Greater Sydney,Inner Ring,Lane Cove,Other,Bedsitter,,,,2018-06-30
42462,Greater Sydney,Inner Ring,Lane Cove,Other,1 Bedroom,,,31,2018-06-30
42463,Greater Sydney,Inner Ring,Lane Cove,Other,Not Specified,,,95,2018-06-30
42464,Greater Sydney,Inner Ring,Lane Cove,Other,2 Bedrooms,,,100,2018-06-30
42465,Greater Sydney,Inner Ring,Lane Cove,Other,3 Bedrooms,,,s,2018-06-30
42466,Greater Sydney,Inner Ring,Lane Cove,Other,4 or more Bedrooms,,,,2018-06-30
42467,Greater Sydney,Inner Ring,Lane Cove,Townhouse,Total,707.5,s,328,2018-06-30
42468,Greater Sydney,Inner Ring,Lane Cove,Townhouse,1 Bedroom,,,s,2018-06-30
42469,Greater Sydney,Inner Ring,Lane Cove,Townhouse,Not Specified,,,s,2018-06-30
42470,Greater Sydney,Inner Ring,Lane Cove,Townhouse,2 Bedrooms,,,163,2018-06-30
42471,Greater Sydney,Inner Ring,Lane Cove,Townhouse,3 Bedrooms,800.0,s,116,2018-06-30
42472,Greater Sydney,Inner Ring,Lane Cove,Townhouse,4 or more Bedrooms,,,,2018-06-30
42473,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Total,550.0,364,3311,2018-06-30
42474,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Bedsitter,,,s,2018-06-30
42475,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,1 Bedroom,510.0,119,786,2018-06-30
42476,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Not Specified,,,222,2018-06-30
42477,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,2 Bedrooms,575.0,194,1937,2018-06-30
42478,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,3 Bedrooms,760.0,40,333,2018-06-30
42479,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,4 or more Bedrooms,,,s,2018-06-30
42487,Greater Sydney,Inner Ring,Mosman,House,Total,1575.0,56,455,2018-06-30
42488,Greater Sydney,Inner Ring,Mosman,House,1 Bedroom,,,s,2018-06-30
42489,Greater Sydney,Inner Ring,Mosman,House,Not Specified,,,53,2018-06-30
42490,Greater Sydney,Inner Ring,Mosman,House,2 Bedrooms,,,35,2018-06-30
42491,Greater Sydney,Inner Ring,Mosman,House,3 Bedrooms,1300.0,s,128,2018-06-30
42492,Greater Sydney,Inner Ring,Mosman,House,4 or more Bedrooms,2000.0,s,225,2018-06-30
42493,Greater Sydney,Inner Ring,Mosman,Other,Total,597.5,s,347,2018-06-30
42494,Greater Sydney,Inner Ring,Mosman,Other,Bedsitter,,,,2018-06-30
42495,Greater Sydney,Inner Ring,Mosman,Other,1 Bedroom,,,71,2018-06-30
42496,Greater Sydney,Inner Ring,Mosman,Other,Not Specified,,,129,2018-06-30
42497,Greater Sydney,Inner Ring,Mosman,Other,2 Bedrooms,,,92,2018-06-30
42498,Greater Sydney,Inner Ring,Mosman,Other,3 Bedrooms,,,40,2018-06-30
42499,Greater Sydney,Inner Ring,Mosman,Other,4 or more Bedrooms,,,,2018-06-30
42500,Greater Sydney,Inner Ring,Mosman,Townhouse,Total,1075.0,s,195,2018-06-30
42501,Greater Sydney,Inner Ring,Mosman,Townhouse,1 Bedroom,,,,2018-06-30
42502,Greater Sydney,Inner Ring,Mosman,Townhouse,Not Specified,,,s,2018-06-30
42503,Greater Sydney,Inner Ring,Mosman,Townhouse,2 Bedrooms,,,47,2018-06-30
42504,Greater Sydney,Inner Ring,Mosman,Townhouse,3 Bedrooms,,,113,2018-06-30
42505,Greater Sydney,Inner Ring,Mosman,Townhouse,4 or more Bedrooms,,,s,2018-06-30
42506,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Total,600.0,279,2851,2018-06-30
42507,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Bedsitter,,,s,2018-06-30
42508,Greater Sydney,Inner Ring,Mosman,Flat/Unit,1 Bedroom,495.0,103,969,2018-06-30
42509,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Not Specified,,,224,2018-06-30
42510,Greater Sydney,Inner Ring,Mosman,Flat/Unit,2 Bedrooms,660.0,135,1377,2018-06-30
42511,Greater Sydney,Inner Ring,Mosman,Flat/Unit,3 Bedrooms,1150.0,s,244,2018-06-30
42512,Greater Sydney,Inner Ring,Mosman,Flat/Unit,4 or more Bedrooms,,,s,2018-06-30
42520,Greater Sydney,Inner Ring,North Sydney,House,Total,900.0,106,747,2018-06-30
42521,Greater Sydney,Inner Ring,North Sydney,House,Bedsitter,,,,2018-06-30
42522,Greater Sydney,Inner Ring,North Sydney,House,1 Bedroom,500.0,s,71,2018-06-30
42523,Greater Sydney,Inner Ring,North Sydney,House,Not Specified,,,81,2018-06-30
42524,Greater Sydney,Inner Ring,North Sydney,House,2 Bedrooms,750.0,s,168,2018-06-30
42525,Greater Sydney,Inner Ring,North Sydney,House,3 Bedrooms,1050.0,41,283,2018-06-30
42526,Greater Sydney,Inner Ring,North Sydney,House,4 or more Bedrooms,1550.0,s,136,2018-06-30
42527,Greater Sydney,Inner Ring,North Sydney,Other,Total,580.0,45,1258,2018-06-30
42528,Greater Sydney,Inner Ring,North Sydney,Other,Bedsitter,,,71,2018-06-30
42529,Greater Sydney,Inner Ring,North Sydney,Other,1 Bedroom,520.0,s,274,2018-06-30
42530,Greater Sydney,Inner Ring,North Sydney,Other,Not Specified,600.0,s,424,2018-06-30
42531,Greater Sydney,Inner Ring,North Sydney,Other,2 Bedrooms,675.0,s,346,2018-06-30
42532,Greater Sydney,Inner Ring,North Sydney,Other,3 Bedrooms,,,122,2018-06-30
42533,Greater Sydney,Inner Ring,North Sydney,Other,4 or more Bedrooms,,,s,2018-06-30
42534,Greater Sydney,Inner Ring,North Sydney,Townhouse,Total,950.0,76,914,2018-06-30
42535,Greater Sydney,Inner Ring,North Sydney,Townhouse,Bedsitter,,,,2018-06-30
42536,Greater Sydney,Inner Ring,North Sydney,Townhouse,1 Bedroom,,,s,2018-06-30
42537,Greater Sydney,Inner Ring,North Sydney,Townhouse,Not Specified,,,65,2018-06-30
42538,Greater Sydney,Inner Ring,North Sydney,Townhouse,2 Bedrooms,847.5,s,288,2018-06-30
42539,Greater Sydney,Inner Ring,North Sydney,Townhouse,3 Bedrooms,975.0,49,472,2018-06-30
42540,Greater Sydney,Inner Ring,North Sydney,Townhouse,4 or more Bedrooms,,,66,2018-06-30
42541,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,Total,615.0,1413,12923,2018-06-30
42542,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,Bedsitter,450.0,65,475,2018-06-30
42543,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,1 Bedroom,525.0,549,4296,2018-06-30
42544,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,Not Specified,600.0,75,1118,2018-06-30
42545,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,2 Bedrooms,700.0,612,5747,2018-06-30
42546,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,3 Bedrooms,1000.0,108,1241,2018-06-30
42547,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,4 or more Bedrooms,,,46,2018-06-30
42555,Greater Sydney,Inner Ring,Randwick,House,Total,950.0,245,2019,2018-06-30
42556,Greater Sydney,Inner Ring,Randwick,House,Bedsitter,,,,2018-06-30
42557,Greater Sydney,Inner Ring,Randwick,House,1 Bedroom,520.0,s,77,2018-06-30
42558,Greater Sydney,Inner Ring,Randwick,House,Not Specified,,,116,2018-06-30
42559,Greater Sydney,Inner Ring,Randwick,House,2 Bedrooms,700.0,57,337,2018-06-30
42560,Greater Sydney,Inner Ring,Randwick,House,3 Bedrooms,935.0,82,778,2018-06-30
42561,Greater Sydney,Inner Ring,Randwick,House,4 or more Bedrooms,1300.0,90,704,2018-06-30
42562,Greater Sydney,Inner Ring,Randwick,Other,Total,480.0,120,2455,2018-06-30
42563,Greater Sydney,Inner Ring,Randwick,Other,Bedsitter,,,82,2018-06-30
42564,Greater Sydney,Inner Ring,Randwick,Other,1 Bedroom,290.0,s,340,2018-06-30
42565,Greater Sydney,Inner Ring,Randwick,Other,Not Specified,482.5,62,981,2018-06-30
42566,Greater Sydney,Inner Ring,Randwick,Other,2 Bedrooms,645.0,s,751,2018-06-30
42567,Greater Sydney,Inner Ring,Randwick,Other,3 Bedrooms,,,226,2018-06-30
42568,Greater Sydney,Inner Ring,Randwick,Other,4 or more Bedrooms,,,75,2018-06-30
42569,Greater Sydney,Inner Ring,Randwick,Townhouse,Total,875.0,83,1176,2018-06-30
42570,Greater Sydney,Inner Ring,Randwick,Townhouse,Bedsitter,,,,2018-06-30
42571,Greater Sydney,Inner Ring,Randwick,Townhouse,1 Bedroom,,,32,2018-06-30
42572,Greater Sydney,Inner Ring,Randwick,Townhouse,Not Specified,,,43,2018-06-30
42573,Greater Sydney,Inner Ring,Randwick,Townhouse,2 Bedrooms,795.0,s,355,2018-06-30
42574,Greater Sydney,Inner Ring,Randwick,Townhouse,3 Bedrooms,875.0,40,605,2018-06-30
42575,Greater Sydney,Inner Ring,Randwick,Townhouse,4 or more Bedrooms,1150.0,s,139,2018-06-30
42576,Greater Sydney,Inner Ring,Randwick,Flat/Unit,Total,630.0,1346,14567,2018-06-30
42577,Greater Sydney,Inner Ring,Randwick,Flat/Unit,Bedsitter,,,153,2018-06-30
42578,Greater Sydney,Inner Ring,Randwick,Flat/Unit,1 Bedroom,520.0,367,3328,2018-06-30
42579,Greater Sydney,Inner Ring,Randwick,Flat/Unit,Not Specified,600.0,s,730,2018-06-30
42580,Greater Sydney,Inner Ring,Randwick,Flat/Unit,2 Bedrooms,650.0,810,8855,2018-06-30
42581,Greater Sydney,Inner Ring,Randwick,Flat/Unit,3 Bedrooms,895.0,123,1418,2018-06-30
42582,Greater Sydney,Inner Ring,Randwick,Flat/Unit,4 or more Bedrooms,,,83,2018-06-30
42590,Greater Sydney,Inner Ring,Sydney,House,Total,810.0,447,2711,2018-06-30
42591,Greater Sydney,Inner Ring,Sydney,House,Bedsitter,542.5,s,83,2018-06-30
42592,Greater Sydney,Inner Ring,Sydney,House,1 Bedroom,575.0,78,366,2018-06-30
42593,Greater Sydney,Inner Ring,Sydney,House,Not Specified,,,110,2018-06-30
42594,Greater Sydney,Inner Ring,Sydney,House,2 Bedrooms,760.0,170,967,2018-06-30
42595,Greater Sydney,Inner Ring,Sydney,House,3 Bedrooms,997.5,112,795,2018-06-30
42596,Greater Sydney,Inner Ring,Sydney,House,4 or more Bedrooms,1300.0,63,390,2018-06-30
42597,Greater Sydney,Inner Ring,Sydney,Other,Total,465.0,1165,9873,2018-06-30
42598,Greater Sydney,Inner Ring,Sydney,Other,Bedsitter,426.0,164,1194,2018-06-30
42599,Greater Sydney,Inner Ring,Sydney,Other,1 Bedroom,454.0,760,3523,2018-06-30
42600,Greater Sydney,Inner Ring,Sydney,Other,Not Specified,595.0,173,3619,2018-06-30
42601,Greater Sydney,Inner Ring,Sydney,Other,2 Bedrooms,830.0,51,1161,2018-06-30
42602,Greater Sydney,Inner Ring,Sydney,Other,3 Bedrooms,,,279,2018-06-30
42603,Greater Sydney,Inner Ring,Sydney,Other,4 or more Bedrooms,,,97,2018-06-30
42604,Greater Sydney,Inner Ring,Sydney,Townhouse,Total,830.0,268,3868,2018-06-30
42605,Greater Sydney,Inner Ring,Sydney,Townhouse,Bedsitter,,,s,2018-06-30
42606,Greater Sydney,Inner Ring,Sydney,Townhouse,1 Bedroom,595.0,39,557,2018-06-30
42607,Greater Sydney,Inner Ring,Sydney,Townhouse,Not Specified,,,169,2018-06-30
42608,Greater Sydney,Inner Ring,Sydney,Townhouse,2 Bedrooms,780.0,100,1665,2018-06-30
42609,Greater Sydney,Inner Ring,Sydney,Townhouse,3 Bedrooms,1000.0,81,1033,2018-06-30
42610,Greater Sydney,Inner Ring,Sydney,Townhouse,4 or more Bedrooms,1087.5,38,428,2018-06-30
42611,Greater Sydney,Inner Ring,Sydney,Flat/Unit,Total,650.0,4543,39084,2018-06-30
42612,Greater Sydney,Inner Ring,Sydney,Flat/Unit,Bedsitter,410.0,223,1960,2018-06-30
