,greatersydney,rings,lga,dwellingtype,sales_price_median,sales_price_mean,sales_no,date
11947,Greater Sydney,Inner Ring,Sydney,Non Strata,1500.0,1585.0,108.0,2019-03-31
11948,Greater Sydney,Inner Ring,Sydney,Strata,840.0,956.0,541.0,2019-03-31
11950,Greater Sydney,Inner Ring,Waverley,Non Strata,2620.0,2830.0,59.0,2019-03-31
11951,Greater Sydney,Inner Ring,Waverley,Strata,1100.0,1874.0,123.0,2019-03-31
11953,Greater Sydney,Inner Ring,Woollahra,Non Strata,3960.0,4434.0,68.0,2019-03-31
11954,Greater Sydney,Inner Ring,Woollahra,Strata,1310.0,1664.0,120.0,2019-03-31
11959,Greater Sydney,Middle Ring,Bayside,Non Strata,1138.0,1176.0,98.0,2019-03-31
11960,Greater Sydney,Middle Ring,Bayside,Strata,675.0,707.0,265.0,2019-03-31
11962,Greater Sydney,Middle Ring,Burwood,Non Strata,1249.0,1433.0,20.0,2019-03-31
11963,Greater Sydney,Middle Ring,Burwood,Strata,695.0,719.0,36.0,2019-03-31
11965,Greater Sydney,Middle Ring,Canada Bay,Non Strata,1688.0,1701.0,56.0,2019-03-31
11966,Greater Sydney,Middle Ring,Canada Bay,Strata,854.0,924.0,120.0,2019-03-31
11968,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,855.0,879.0,351.0,2019-03-31
11969,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,547.0,593.0,255.0,2019-03-31
11971,Greater Sydney,Middle Ring,Cumberland,Non Strata,770.0,789.0,183.0,2019-03-31
11972,Greater Sydney,Middle Ring,Cumberland,Strata,538.0,527.0,144.0,2019-03-31
11974,Greater Sydney,Middle Ring,Georges River,Non Strata,1200.0,1231.0,125.0,2019-03-31
11975,Greater Sydney,Middle Ring,Georges River,Strata,650.0,655.0,144.0,2019-03-31
11977,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2500.0,2769.0,20.0,2019-03-31
11978,Greater Sydney,Middle Ring,Hunters Hill,Strata,1620.0,1541.0,20.0,2019-03-31
11980,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,1910.0,2065.0,168.0,2019-03-31
11981,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,880.0,951.0,106.0,2019-03-31
11983,Greater Sydney,Middle Ring,Parramatta,Non Strata,1010.0,1068.0,191.0,2019-03-31
11984,Greater Sydney,Middle Ring,Parramatta,Strata,647.0,642.0,279.0,2019-03-31
11986,Greater Sydney,Middle Ring,Ryde,Non Strata,1335.0,1428.0,117.0,2019-03-31
11987,Greater Sydney,Middle Ring,Ryde,Strata,685.0,739.0,195.0,2019-03-31
11989,Greater Sydney,Middle Ring,Strathfield,Non Strata,2250.0,2499.0,20.0,2019-03-31
11990,Greater Sydney,Middle Ring,Strathfield,Strata,633.0,627.0,52.0,2019-03-31
11992,Greater Sydney,Middle Ring,Willoughby,Non Strata,2105.0,2291.0,62.0,2019-03-31
11993,Greater Sydney,Middle Ring,Willoughby,Strata,883.0,975.0,86.0,2019-03-31
11998,Greater Sydney,Outer Ring,Blacktown,Non Strata,684.0,702.0,564.0,2019-03-31
11999,Greater Sydney,Outer Ring,Blacktown,Strata,525.0,521.0,123.0,2019-03-31
12001,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,650.0,679.0,219.0,2019-03-31
12002,Greater Sydney,Outer Ring,Blue Mountains,Strata,551.0,542.0,20.0,2019-03-31
12004,Greater Sydney,Outer Ring,Camden,Non Strata,700.0,720.0,242.0,2019-03-31
12005,Greater Sydney,Outer Ring,Camden,Strata,489.0,505.0,20.0,2019-03-31
12007,Greater Sydney,Outer Ring,Campbelltown,Non Strata,571.0,584.0,284.0,2019-03-31
12008,Greater Sydney,Outer Ring,Campbelltown,Strata,420.0,425.0,63.0,2019-03-31
12010,Greater Sydney,Outer Ring,Central Coast,Non Strata,620.0,665.0,845.0,2019-03-31
12011,Greater Sydney,Outer Ring,Central Coast,Strata,490.0,523.0,230.0,2019-03-31
12013,Greater Sydney,Outer Ring,Fairfield,Non Strata,719.0,725.0,166.0,2019-03-31
12014,Greater Sydney,Outer Ring,Fairfield,Strata,421.0,424.0,45.0,2019-03-31
12016,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,750.0,834.0,112.0,2019-03-31
12017,Greater Sydney,Outer Ring,Hawkesbury,Strata,470.0,443.0,20.0,2019-03-31
12019,Greater Sydney,Outer Ring,Hornsby,Non Strata,1175.0,1221.0,180.0,2019-03-31
12020,Greater Sydney,Outer Ring,Hornsby,Strata,646.0,648.0,104.0,2019-03-31
12022,Greater Sydney,Outer Ring,Liverpool,Non Strata,750.0,780.0,232.0,2019-03-31
12023,Greater Sydney,Outer Ring,Liverpool,Strata,522.0,498.0,58.0,2019-03-31
12025,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1600.0,1722.0,373.0,2019-03-31
12026,Greater Sydney,Outer Ring,Northern Beaches,Strata,800.0,908.0,358.0,2019-03-31
12028,Greater Sydney,Outer Ring,Penrith,Non Strata,643.0,650.0,364.0,2019-03-31
12029,Greater Sydney,Outer Ring,Penrith,Strata,460.0,451.0,114.0,2019-03-31
12031,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1050.0,1159.0,303.0,2019-03-31
12032,Greater Sydney,Outer Ring,Sutherland Shire,Strata,700.0,735.0,270.0,2019-03-31
12034,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1128.0,1194.0,251.0,2019-03-31
12035,Greater Sydney,Outer Ring,The Hills Shire,Strata,721.0,733.0,66.0,2019-03-31
12037,Greater Sydney,Outer Ring,Wollondilly,Non Strata,670.0,757.0,121.0,2019-03-31
12038,Greater Sydney,Outer Ring,Wollondilly,Strata,522.0,,5.0,2019-03-31
14678,Greater Sydney,Inner Ring,Inner West,Non Strata,1400.0,1526.0,365.0,2019-06-30
14679,Greater Sydney,Inner Ring,Inner West,Strata,768.0,1802.0,348.0,2019-06-30
14681,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2138.0,3073.0,56.0,2019-06-30
14682,Greater Sydney,Inner Ring,Lane Cove,Strata,724.0,805.0,116.0,2019-06-30
14684,Greater Sydney,Inner Ring,Mosman,Non Strata,3450.0,3662.0,48.0,2019-06-30
14685,Greater Sydney,Inner Ring,Mosman,Strata,950.0,1214.0,65.0,2019-06-30
14687,Greater Sydney,Inner Ring,North Sydney,Non Strata,2650.0,3182.0,49.0,2019-06-30
14688,Greater Sydney,Inner Ring,North Sydney,Strata,978.0,1169.0,266.0,2019-06-30
14690,Greater Sydney,Inner Ring,Randwick,Non Strata,1925.0,2052.0,137.0,2019-06-30
14691,Greater Sydney,Inner Ring,Randwick,Strata,875.0,950.0,214.0,2019-06-30
14693,Greater Sydney,Inner Ring,Sydney,Non Strata,1429.0,1655.0,130.0,2019-06-30
14694,Greater Sydney,Inner Ring,Sydney,Strata,885.0,1024.0,765.0,2019-06-30
14696,Greater Sydney,Inner Ring,Waverley,Non Strata,2635.0,2885.0,90.0,2019-06-30
14697,Greater Sydney,Inner Ring,Waverley,Strata,1065.0,1153.0,176.0,2019-06-30
14699,Greater Sydney,Inner Ring,Woollahra,Non Strata,3500.0,3958.0,105.0,2019-06-30
14700,Greater Sydney,Inner Ring,Woollahra,Strata,1400.0,1533.0,135.0,2019-06-30
14705,Greater Sydney,Middle Ring,Bayside,Non Strata,1127.0,1181.0,174.0,2019-06-30
14706,Greater Sydney,Middle Ring,Bayside,Strata,690.0,728.0,442.0,2019-06-30
14708,Greater Sydney,Middle Ring,Burwood,Non Strata,1265.0,1368.0,20.0,2019-06-30
14709,Greater Sydney,Middle Ring,Burwood,Strata,728.0,739.0,72.0,2019-06-30
14711,Greater Sydney,Middle Ring,Canada Bay,Non Strata,1650.0,1787.0,108.0,2019-06-30
14712,Greater Sydney,Middle Ring,Canada Bay,Strata,860.0,910.0,211.0,2019-06-30
14714,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,867.0,917.0,504.0,2019-06-30
14715,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,536.0,544.0,358.0,2019-06-30
14717,Greater Sydney,Middle Ring,Cumberland,Non Strata,780.0,803.0,275.0,2019-06-30
14718,Greater Sydney,Middle Ring,Cumberland,Strata,570.0,624.0,284.0,2019-06-30
14720,Greater Sydney,Middle Ring,Georges River,Non Strata,1125.0,1231.0,186.0,2019-06-30
14721,Greater Sydney,Middle Ring,Georges River,Strata,633.0,651.0,200.0,2019-06-30
14723,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2534.0,2925.0,20.0,2019-06-30
14724,Greater Sydney,Middle Ring,Hunters Hill,Strata,755.0,793.0,20.0,2019-06-30
14726,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,1894.0,2081.0,264.0,2019-06-30
14727,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,930.0,1017.0,163.0,2019-06-30
14729,Greater Sydney,Middle Ring,Parramatta,Non Strata,1006.0,1058.0,292.0,2019-06-30
14730,Greater Sydney,Middle Ring,Parramatta,Strata,668.0,4098.0,516.0,2019-06-30
14732,Greater Sydney,Middle Ring,Ryde,Non Strata,1400.0,1514.0,147.0,2019-06-30
14733,Greater Sydney,Middle Ring,Ryde,Strata,670.0,711.0,355.0,2019-06-30
14735,Greater Sydney,Middle Ring,Strathfield,Non Strata,2100.0,2105.0,36.0,2019-06-30
14736,Greater Sydney,Middle Ring,Strathfield,Strata,650.0,5170.0,122.0,2019-06-30
14738,Greater Sydney,Middle Ring,Willoughby,Non Strata,2215.0,2314.0,124.0,2019-06-30
14739,Greater Sydney,Middle Ring,Willoughby,Strata,930.0,2160.0,126.0,2019-06-30
14744,Greater Sydney,Outer Ring,Blacktown,Non Strata,705.0,711.0,747.0,2019-06-30
14745,Greater Sydney,Outer Ring,Blacktown,Strata,538.0,521.0,150.0,2019-06-30
14747,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,650.0,673.0,278.0,2019-06-30
14748,Greater Sydney,Outer Ring,Blue Mountains,Strata,565.0,538.0,20.0,2019-06-30
14750,Greater Sydney,Outer Ring,Camden,Non Strata,695.0,718.0,299.0,2019-06-30
14751,Greater Sydney,Outer Ring,Camden,Strata,549.0,582.0,20.0,2019-06-30
14753,Greater Sydney,Outer Ring,Campbelltown,Non Strata,575.0,585.0,323.0,2019-06-30
14754,Greater Sydney,Outer Ring,Campbelltown,Strata,404.0,407.0,78.0,2019-06-30
14756,Greater Sydney,Outer Ring,Central Coast,Non Strata,620.0,663.0,967.0,2019-06-30
14757,Greater Sydney,Outer Ring,Central Coast,Strata,450.0,486.0,276.0,2019-06-30
14759,Greater Sydney,Outer Ring,Fairfield,Non Strata,700.0,712.0,267.0,2019-06-30
14760,Greater Sydney,Outer Ring,Fairfield,Strata,408.0,421.0,72.0,2019-06-30
14762,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,720.0,849.0,166.0,2019-06-30
14763,Greater Sydney,Outer Ring,Hawkesbury,Strata,515.0,489.0,20.0,2019-06-30
14765,Greater Sydney,Outer Ring,Hornsby,Non Strata,1140.0,1177.0,250.0,2019-06-30
14766,Greater Sydney,Outer Ring,Hornsby,Strata,660.0,670.0,151.0,2019-06-30
14768,Greater Sydney,Outer Ring,Liverpool,Non Strata,728.0,745.0,348.0,2019-06-30
14769,Greater Sydney,Outer Ring,Liverpool,Strata,480.0,467.0,107.0,2019-06-30
14771,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1673.0,1824.0,478.0,2019-06-30
14772,Greater Sydney,Outer Ring,Northern Beaches,Strata,815.0,902.0,455.0,2019-06-30
14774,Greater Sydney,Outer Ring,Penrith,Non Strata,645.0,669.0,460.0,2019-06-30
14775,Greater Sydney,Outer Ring,Penrith,Strata,450.0,449.0,166.0,2019-06-30
14777,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1100.0,1153.0,442.0,2019-06-30
14778,Greater Sydney,Outer Ring,Sutherland Shire,Strata,720.0,772.0,397.0,2019-06-30
14780,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1155.0,1263.0,379.0,2019-06-30
14781,Greater Sydney,Outer Ring,The Hills Shire,Strata,720.0,739.0,92.0,2019-06-30
14783,Greater Sydney,Outer Ring,Wollondilly,Non Strata,663.0,726.0,116.0,2019-06-30
17430,Greater Sydney,Inner Ring,Inner West,Non Strata,1500.0,1586.0,330.0,2019-09-30
17431,Greater Sydney,Inner Ring,Inner West,Strata,750.0,813.0,335.0,2019-09-30
17433,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2550.0,2679.0,45.0,2019-09-30
17434,Greater Sydney,Inner Ring,Lane Cove,Strata,795.0,904.0,154.0,2019-09-30
17436,Greater Sydney,Inner Ring,Mosman,Non Strata,3240.0,3861.0,36.0,2019-09-30
17437,Greater Sydney,Inner Ring,Mosman,Strata,940.0,1097.0,82.0,2019-09-30
17439,Greater Sydney,Inner Ring,North Sydney,Non Strata,2505.0,2945.0,54.0,2019-09-30
17440,Greater Sydney,Inner Ring,North Sydney,Strata,980.0,1164.0,325.0,2019-09-30
17442,Greater Sydney,Inner Ring,Randwick,Non Strata,1950.0,2200.0,136.0,2019-09-30
17443,Greater Sydney,Inner Ring,Randwick,Strata,941.0,1048.0,245.0,2019-09-30
17445,Greater Sydney,Inner Ring,Sydney,Non Strata,1551.0,1646.0,166.0,2019-09-30
17446,Greater Sydney,Inner Ring,Sydney,Strata,964.0,1986.0,918.0,2019-09-30
17448,Greater Sydney,Inner Ring,Waverley,Non Strata,2790.0,2990.0,83.0,2019-09-30
17449,Greater Sydney,Inner Ring,Waverley,Strata,1200.0,2253.0,240.0,2019-09-30
17451,Greater Sydney,Inner Ring,Woollahra,Non Strata,3050.0,3436.0,92.0,2019-09-30
17452,Greater Sydney,Inner Ring,Woollahra,Strata,1450.0,1955.0,163.0,2019-09-30
17457,Greater Sydney,Middle Ring,Bayside,Non Strata,1250.0,1297.0,162.0,2019-09-30
17458,Greater Sydney,Middle Ring,Bayside,Strata,720.0,736.0,494.0,2019-09-30
17460,Greater Sydney,Middle Ring,Burwood,Non Strata,1685.0,1837.0,20.0,2019-09-30
17461,Greater Sydney,Middle Ring,Burwood,Strata,735.0,747.0,73.0,2019-09-30
17463,Greater Sydney,Middle Ring,Canada Bay,Non Strata,1721.0,1940.0,105.0,2019-09-30
17464,Greater Sydney,Middle Ring,Canada Bay,Strata,900.0,979.0,234.0,2019-09-30
17466,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,920.0,959.0,538.0,2019-09-30
17467,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,535.0,556.0,419.0,2019-09-30
17469,Greater Sydney,Middle Ring,Cumberland,Non Strata,800.0,810.0,286.0,2019-09-30
17470,Greater Sydney,Middle Ring,Cumberland,Strata,553.0,541.0,298.0,2019-09-30
17472,Greater Sydney,Middle Ring,Georges River,Non Strata,1250.0,1301.0,216.0,2019-09-30
17473,Greater Sydney,Middle Ring,Georges River,Strata,661.0,665.0,246.0,2019-09-30
17475,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2620.0,3201.0,20.0,2019-09-30
17476,Greater Sydney,Middle Ring,Hunters Hill,Strata,1290.0,1318.0,20.0,2019-09-30
17478,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2020.0,2270.0,283.0,2019-09-30
17479,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,900.0,998.0,186.0,2019-09-30
17481,Greater Sydney,Middle Ring,Parramatta,Non Strata,1130.0,1170.0,306.0,2019-09-30
17482,Greater Sydney,Middle Ring,Parramatta,Strata,650.0,652.0,589.0,2019-09-30
17484,Greater Sydney,Middle Ring,Ryde,Non Strata,1520.0,1592.0,149.0,2019-09-30
17485,Greater Sydney,Middle Ring,Ryde,Strata,780.0,1771.0,420.0,2019-09-30
17487,Greater Sydney,Middle Ring,Strathfield,Non Strata,2243.0,2367.0,36.0,2019-09-30
17488,Greater Sydney,Middle Ring,Strathfield,Strata,625.0,638.0,108.0,2019-09-30
17490,Greater Sydney,Middle Ring,Willoughby,Non Strata,2386.0,2553.0,103.0,2019-09-30
17491,Greater Sydney,Middle Ring,Willoughby,Strata,990.0,1033.0,107.0,2019-09-30
17496,Greater Sydney,Outer Ring,Blacktown,Non Strata,720.0,732.0,890.0,2019-09-30
17497,Greater Sydney,Outer Ring,Blacktown,Strata,550.0,536.0,220.0,2019-09-30
17499,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,650.0,676.0,308.0,2019-09-30
17500,Greater Sydney,Outer Ring,Blue Mountains,Strata,600.0,577.0,40.0,2019-09-30
17502,Greater Sydney,Outer Ring,Camden,Non Strata,715.0,742.0,366.0,2019-09-30
17503,Greater Sydney,Outer Ring,Camden,Strata,561.0,541.0,32.0,2019-09-30
17505,Greater Sydney,Outer Ring,Campbelltown,Non Strata,605.0,618.0,362.0,2019-09-30
17506,Greater Sydney,Outer Ring,Campbelltown,Strata,420.0,427.0,88.0,2019-09-30
17508,Greater Sydney,Outer Ring,Central Coast,Non Strata,630.0,666.0,1079.0,2019-09-30
17509,Greater Sydney,Outer Ring,Central Coast,Strata,470.0,516.0,313.0,2019-09-30
17511,Greater Sydney,Outer Ring,Fairfield,Non Strata,743.0,753.0,284.0,2019-09-30
17512,Greater Sydney,Outer Ring,Fairfield,Strata,460.0,824.0,95.0,2019-09-30
17514,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,714.0,794.0,200.0,2019-09-30
17515,Greater Sydney,Outer Ring,Hawkesbury,Strata,445.0,423.0,33.0,2019-09-30
17517,Greater Sydney,Outer Ring,Hornsby,Non Strata,1226.0,1264.0,281.0,2019-09-30
17518,Greater Sydney,Outer Ring,Hornsby,Strata,690.0,3470.0,271.0,2019-09-30
17520,Greater Sydney,Outer Ring,Liverpool,Non Strata,760.0,768.0,345.0,2019-09-30
17521,Greater Sydney,Outer Ring,Liverpool,Strata,485.0,482.0,162.0,2019-09-30
17523,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1720.0,1939.0,488.0,2019-09-30
17524,Greater Sydney,Outer Ring,Northern Beaches,Strata,905.0,1015.0,446.0,2019-09-30
17526,Greater Sydney,Outer Ring,Penrith,Non Strata,650.0,666.0,468.0,2019-09-30
17527,Greater Sydney,Outer Ring,Penrith,Strata,475.0,463.0,243.0,2019-09-30
17529,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1158.0,1236.0,432.0,2019-09-30
17530,Greater Sydney,Outer Ring,Sutherland Shire,Strata,730.0,929.0,471.0,2019-09-30
17532,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1255.0,1361.0,487.0,2019-09-30
17533,Greater Sydney,Outer Ring,The Hills Shire,Strata,780.0,874.0,122.0,2019-09-30
17535,Greater Sydney,Outer Ring,Wollondilly,Non Strata,850.0,860.0,146.0,2019-09-30
17536,Greater Sydney,Outer Ring,Wollondilly,Strata,550.0,,5.0,2019-09-30
20199,Greater Sydney,Inner Ring,Inner West,Non Strata,1614.0,1686.0,442.0,2019-12-31
20200,Greater Sydney,Inner Ring,Inner West,Strata,792.0,865.0,340.0,2019-12-31
20202,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2478.0,2731.0,72.0,2019-12-31
20203,Greater Sydney,Inner Ring,Lane Cove,Strata,920.0,1051.0,146.0,2019-12-31
20205,Greater Sydney,Inner Ring,Mosman,Non Strata,3900.0,4287.0,67.0,2019-12-31
20206,Greater Sydney,Inner Ring,Mosman,Strata,1158.0,1398.0,90.0,2019-12-31
20208,Greater Sydney,Inner Ring,North Sydney,Non Strata,2536.0,2972.0,76.0,2019-12-31
20209,Greater Sydney,Inner Ring,North Sydney,Strata,1030.0,1144.0,321.0,2019-12-31
20211,Greater Sydney,Inner Ring,Randwick,Non Strata,2300.0,2456.0,160.0,2019-12-31
20212,Greater Sydney,Inner Ring,Randwick,Strata,1009.0,1086.0,289.0,2019-12-31
20214,Greater Sydney,Inner Ring,Sydney,Non Strata,1673.0,1832.0,180.0,2019-12-31
20215,Greater Sydney,Inner Ring,Sydney,Strata,937.0,1054.0,954.0,2019-12-31
20217,Greater Sydney,Inner Ring,Waverley,Non Strata,2838.0,2996.0,98.0,2019-12-31
20218,Greater Sydney,Inner Ring,Waverley,Strata,1160.0,1274.0,241.0,2019-12-31
20220,Greater Sydney,Inner Ring,Woollahra,Non Strata,3200.0,4114.0,119.0,2019-12-31
20221,Greater Sydney,Inner Ring,Woollahra,Strata,1275.0,1762.0,196.0,2019-12-31
20226,Greater Sydney,Middle Ring,Bayside,Non Strata,1366.0,1395.0,191.0,2019-12-31
20227,Greater Sydney,Middle Ring,Bayside,Strata,725.0,747.0,540.0,2019-12-31
20229,Greater Sydney,Middle Ring,Burwood,Non Strata,1610.0,1608.0,33.0,2019-12-31
20230,Greater Sydney,Middle Ring,Burwood,Strata,800.0,813.0,90.0,2019-12-31
20232,Greater Sydney,Middle Ring,Canada Bay,Non Strata,2080.0,2158.0,119.0,2019-12-31
20233,Greater Sydney,Middle Ring,Canada Bay,Strata,875.0,968.0,227.0,2019-12-31
20235,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,950.0,1013.0,644.0,2019-12-31
20236,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,550.0,562.0,429.0,2019-12-31
20238,Greater Sydney,Middle Ring,Cumberland,Non Strata,833.0,881.0,317.0,2019-12-31
20239,Greater Sydney,Middle Ring,Cumberland,Strata,550.0,544.0,288.0,2019-12-31
20241,Greater Sydney,Middle Ring,Georges River,Non Strata,1281.0,1353.0,270.0,2019-12-31
20242,Greater Sydney,Middle Ring,Georges River,Strata,680.0,682.0,271.0,2019-12-31
20244,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2780.0,3231.0,32.0,2019-12-31
20245,Greater Sydney,Middle Ring,Hunters Hill,Strata,1170.0,1076.0,20.0,2019-12-31
20247,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2208.0,2364.0,308.0,2019-12-31
20248,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,980.0,1110.0,227.0,2019-12-31
20250,Greater Sydney,Middle Ring,Parramatta,Non Strata,1251.0,1297.0,342.0,2019-12-31
20251,Greater Sydney,Middle Ring,Parramatta,Strata,671.0,1675.0,599.0,2019-12-31
20253,Greater Sydney,Middle Ring,Ryde,Non Strata,1690.0,1767.0,169.0,2019-12-31
20254,Greater Sydney,Middle Ring,Ryde,Strata,810.0,882.0,454.0,2019-12-31
20256,Greater Sydney,Middle Ring,Strathfield,Non Strata,2070.0,2171.0,42.0,2019-12-31
20257,Greater Sydney,Middle Ring,Strathfield,Strata,650.0,655.0,126.0,2019-12-31
20259,Greater Sydney,Middle Ring,Willoughby,Non Strata,2480.0,2585.0,126.0,2019-12-31
20260,Greater Sydney,Middle Ring,Willoughby,Strata,1010.0,1060.0,122.0,2019-12-31
20265,Greater Sydney,Outer Ring,Blacktown,Non Strata,755.0,771.0,883.0,2019-12-31
20266,Greater Sydney,Outer Ring,Blacktown,Strata,520.0,524.0,221.0,2019-12-31
20268,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,660.0,690.0,296.0,2019-12-31
20269,Greater Sydney,Outer Ring,Blue Mountains,Strata,525.0,529.0,20.0,2019-12-31
20271,Greater Sydney,Outer Ring,Camden,Non Strata,727.0,755.0,318.0,2019-12-31
20272,Greater Sydney,Outer Ring,Camden,Strata,572.0,563.0,20.0,2019-12-31
20274,Greater Sydney,Outer Ring,Campbelltown,Non Strata,606.0,617.0,350.0,2019-12-31
20275,Greater Sydney,Outer Ring,Campbelltown,Strata,433.0,439.0,96.0,2019-12-31
20277,Greater Sydney,Outer Ring,Central Coast,Non Strata,650.0,701.0,1153.0,2019-12-31
20278,Greater Sydney,Outer Ring,Central Coast,Strata,485.0,524.0,299.0,2019-12-31
20280,Greater Sydney,Outer Ring,Fairfield,Non Strata,770.0,805.0,302.0,2019-12-31
20281,Greater Sydney,Outer Ring,Fairfield,Strata,434.0,453.0,92.0,2019-12-31
20283,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,690.0,798.0,205.0,2019-12-31
20284,Greater Sydney,Outer Ring,Hawkesbury,Strata,499.0,488.0,20.0,2019-12-31
20286,Greater Sydney,Outer Ring,Hornsby,Non Strata,1330.0,1373.0,318.0,2019-12-31
20287,Greater Sydney,Outer Ring,Hornsby,Strata,661.0,709.0,193.0,2019-12-31
20289,Greater Sydney,Outer Ring,Liverpool,Non Strata,800.0,899.0,408.0,2019-12-31
20290,Greater Sydney,Outer Ring,Liverpool,Strata,480.0,495.0,172.0,2019-12-31
20292,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1880.0,2077.0,601.0,2019-12-31
20293,Greater Sydney,Outer Ring,Northern Beaches,Strata,985.0,1123.0,552.0,2019-12-31
20295,Greater Sydney,Outer Ring,Penrith,Non Strata,682.0,709.0,476.0,2019-12-31
20296,Greater Sydney,Outer Ring,Penrith,Strata,490.0,494.0,217.0,2019-12-31
20298,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1252.0,1346.0,451.0,2019-12-31
20299,Greater Sydney,Outer Ring,Sutherland Shire,Strata,742.0,802.0,441.0,2019-12-31
20301,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1300.0,1337.0,512.0,2019-12-31
20302,Greater Sydney,Outer Ring,The Hills Shire,Strata,800.0,800.0,121.0,2019-12-31
20304,Greater Sydney,Outer Ring,Wollondilly,Non Strata,755.0,857.0,146.0,2019-12-31
20305,Greater Sydney,Outer Ring,Wollondilly,Strata,520.0,,5.0,2019-12-31
22978,Greater Sydney,Inner Ring,Inner West,Non Strata,1700.0,1752.0,322.0,2020-03-31
22979,Greater Sydney,Inner Ring,Inner West,Strata,820.0,861.0,260.0,2020-03-31
22981,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2470.0,2688.0,37.0,2020-03-31
22982,Greater Sydney,Inner Ring,Lane Cove,Strata,878.0,949.0,138.0,2020-03-31
22984,Greater Sydney,Inner Ring,Mosman,Non Strata,4050.0,4805.0,44.0,2020-03-31
22985,Greater Sydney,Inner Ring,Mosman,Strata,993.0,1112.0,76.0,2020-03-31
22987,Greater Sydney,Inner Ring,North Sydney,Non Strata,2673.0,2899.0,44.0,2020-03-31
22988,Greater Sydney,Inner Ring,North Sydney,Strata,1170.0,1288.0,297.0,2020-03-31
22990,Greater Sydney,Inner Ring,Randwick,Non Strata,2331.0,2411.0,126.0,2020-03-31
22991,Greater Sydney,Inner Ring,Randwick,Strata,1000.0,1079.0,227.0,2020-03-31
22993,Greater Sydney,Inner Ring,Sydney,Non Strata,1691.0,1733.0,135.0,2020-03-31
22994,Greater Sydney,Inner Ring,Sydney,Strata,935.0,1043.0,743.0,2020-03-31
22996,Greater Sydney,Inner Ring,Waverley,Non Strata,3008.0,3260.0,88.0,2020-03-31
22997,Greater Sydney,Inner Ring,Waverley,Strata,1300.0,1446.0,207.0,2020-03-31
22999,Greater Sydney,Inner Ring,Woollahra,Non Strata,3710.0,3922.0,94.0,2020-03-31
23000,Greater Sydney,Inner Ring,Woollahra,Strata,1410.0,1716.0,132.0,2020-03-31
23005,Greater Sydney,Middle Ring,Bayside,Non Strata,1390.0,1411.0,149.0,2020-03-31
23006,Greater Sydney,Middle Ring,Bayside,Strata,730.0,761.0,439.0,2020-03-31
23008,Greater Sydney,Middle Ring,Burwood,Non Strata,1500.0,1647.0,31.0,2020-03-31
23009,Greater Sydney,Middle Ring,Burwood,Strata,830.0,838.0,75.0,2020-03-31
23011,Greater Sydney,Middle Ring,Canada Bay,Non Strata,1973.0,1999.0,100.0,2020-03-31
23012,Greater Sydney,Middle Ring,Canada Bay,Strata,925.0,1029.0,190.0,2020-03-31
