,greatersydney,rings,lga,dwellingtype,sales_price_median,sales_price_mean,sales_no,date
903,Greater Sydney,Outer Ring,The Hills Shire,Strata,770.0,783.0,79.0,2018-03-31
905,Greater Sydney,Outer Ring,Wollondilly,Non Strata,767.0,851.0,135.0,2018-03-31
906,Greater Sydney,Outer Ring,Wollondilly,Strata,425.0,403.0,20.0,2018-03-31
3585,Greater Sydney,Inner Ring,Inner West,Non Strata,1458.0,1565.0,338.0,2018-06-30
3586,Greater Sydney,Inner Ring,Inner West,Strata,776.0,811.0,347.0,2018-06-30
3588,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2500.0,2677.0,45.0,2018-06-30
3589,Greater Sydney,Inner Ring,Lane Cove,Strata,810.0,875.0,101.0,2018-06-30
3591,Greater Sydney,Inner Ring,Mosman,Non Strata,3500.0,4098.0,37.0,2018-06-30
3592,Greater Sydney,Inner Ring,Mosman,Strata,1035.0,1361.0,71.0,2018-06-30
3594,Greater Sydney,Inner Ring,North Sydney,Non Strata,2300.0,2466.0,47.0,2018-06-30
3595,Greater Sydney,Inner Ring,North Sydney,Strata,1081.0,1180.0,268.0,2018-06-30
3597,Greater Sydney,Inner Ring,Randwick,Non Strata,2155.0,2285.0,128.0,2018-06-30
3598,Greater Sydney,Inner Ring,Randwick,Strata,918.0,989.0,234.0,2018-06-30
3600,Greater Sydney,Inner Ring,Sydney,Non Strata,1600.0,1912.0,160.0,2018-06-30
3601,Greater Sydney,Inner Ring,Sydney,Strata,900.0,984.0,826.0,2018-06-30
3603,Greater Sydney,Inner Ring,Waverley,Non Strata,2778.0,3036.0,76.0,2018-06-30
3604,Greater Sydney,Inner Ring,Waverley,Strata,1190.0,1231.0,188.0,2018-06-30
3606,Greater Sydney,Inner Ring,Woollahra,Non Strata,3255.0,3750.0,80.0,2018-06-30
3607,Greater Sydney,Inner Ring,Woollahra,Strata,1255.0,1712.0,135.0,2018-06-30
3612,Greater Sydney,Middle Ring,Bayside,Non Strata,1298.0,1358.0,149.0,2018-06-30
3613,Greater Sydney,Middle Ring,Bayside,Strata,720.0,744.0,363.0,2018-06-30
3615,Greater Sydney,Middle Ring,Burwood,Non Strata,1608.0,1730.0,32.0,2018-06-30
3616,Greater Sydney,Middle Ring,Burwood,Strata,780.0,795.0,52.0,2018-06-30
3618,Greater Sydney,Middle Ring,Canada Bay,Non Strata,2058.0,2138.0,88.0,2018-06-30
3619,Greater Sydney,Middle Ring,Canada Bay,Strata,923.0,1009.0,214.0,2018-06-30
3621,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,985.0,1023.0,491.0,2018-06-30
3622,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,562.0,569.0,384.0,2018-06-30
3624,Greater Sydney,Middle Ring,Cumberland,Non Strata,868.0,900.0,275.0,2018-06-30
3625,Greater Sydney,Middle Ring,Cumberland,Strata,580.0,573.0,315.0,2018-06-30
3627,Greater Sydney,Middle Ring,Georges River,Non Strata,1250.0,1351.0,179.0,2018-06-30
3628,Greater Sydney,Middle Ring,Georges River,Strata,690.0,710.0,216.0,2018-06-30
3630,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2625.0,3267.0,20.0,2018-06-30
3631,Greater Sydney,Middle Ring,Hunters Hill,Strata,1000.0,1151.0,20.0,2018-06-30
3633,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2010.0,2289.0,214.0,2018-06-30
3634,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,970.0,1075.0,160.0,2018-06-30
3636,Greater Sydney,Middle Ring,Parramatta,Non Strata,1230.0,1240.0,279.0,2018-06-30
3637,Greater Sydney,Middle Ring,Parramatta,Strata,680.0,683.0,532.0,2018-06-30
3639,Greater Sydney,Middle Ring,Ryde,Non Strata,1673.0,1765.0,144.0,2018-06-30
3640,Greater Sydney,Middle Ring,Ryde,Strata,803.0,942.0,316.0,2018-06-30
3642,Greater Sydney,Middle Ring,Strathfield,Non Strata,1880.0,2150.0,20.0,2018-06-30
3643,Greater Sydney,Middle Ring,Strathfield,Strata,625.0,631.0,117.0,2018-06-30
3645,Greater Sydney,Middle Ring,Willoughby,Non Strata,2485.0,2621.0,110.0,2018-06-30
3646,Greater Sydney,Middle Ring,Willoughby,Strata,946.0,1023.0,120.0,2018-06-30
3651,Greater Sydney,Outer Ring,Blacktown,Non Strata,740.0,771.0,697.0,2018-06-30
3652,Greater Sydney,Outer Ring,Blacktown,Strata,571.0,551.0,186.0,2018-06-30
3654,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,664.0,706.0,304.0,2018-06-30
3655,Greater Sydney,Outer Ring,Blue Mountains,Strata,515.0,505.0,20.0,2018-06-30
3657,Greater Sydney,Outer Ring,Camden,Non Strata,750.0,782.0,318.0,2018-06-30
3658,Greater Sydney,Outer Ring,Camden,Strata,650.0,606.0,20.0,2018-06-30
3660,Greater Sydney,Outer Ring,Campbelltown,Non Strata,645.0,657.0,378.0,2018-06-30
3661,Greater Sydney,Outer Ring,Campbelltown,Strata,481.0,480.0,92.0,2018-06-30
3663,Greater Sydney,Outer Ring,Central Coast,Non Strata,658.0,708.0,1117.0,2018-06-30
