,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
42,Canada Bay,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,695.0,64.0,917.0,Strata
43,Canada Bay,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,630.0,982.0,7569.0,Strata
44,Canterbury-Bankstown,990.0,1046.0,464.0,2018-03-31,Greater Sydney,Middle Ring,House,560.0,749.0,8100.0,Non Strata
45,Canterbury-Bankstown,585.0,592.0,382.0,2018-03-31,Greater Sydney,Middle Ring,Other,472.5,296.0,5701.0,Strata
46,Canterbury-Bankstown,585.0,592.0,382.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,600.0,240.0,3093.0,Strata
47,Canterbury-Bankstown,585.0,592.0,382.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,430.0,1464.0,13943.0,Strata
48,Cumberland,880.0,920.0,229.0,2018-03-31,Greater Sydney,Middle Ring,House,500.0,576.0,6164.0,Non Strata
49,Cumberland,580.0,577.0,286.0,2018-03-31,Greater Sydney,Middle Ring,Other,460.0,217.0,3379.0,Strata
50,Cumberland,580.0,577.0,286.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,530.0,188.0,2378.0,Strata
51,Cumberland,580.0,577.0,286.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,450.0,991.0,10489.0,Strata
52,Georges River,1356.0,1405.0,145.0,2018-03-31,Greater Sydney,Middle Ring,House,600.0,326.0,2994.0,Non Strata
53,Georges River,700.0,715.0,177.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,87.0,2323.0,Strata
54,Georges River,700.0,715.0,177.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,600.0,79.0,840.0,Strata
55,Georges River,700.0,715.0,177.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,492.53,826.0,8113.0,Strata
56,Hunters Hill,2900.0,2969.0,20.0,2018-03-31,Greater Sydney,Middle Ring,House,960.0,20.0,264.0,Non Strata
57,Hunters Hill,1154.0,1188.0,20.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,5.0,67.0,Strata
58,Hunters Hill,1154.0,1188.0,20.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,630.0,5.0,68.0,Strata
59,Hunters Hill,1154.0,1188.0,20.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,560.0,49.0,469.0,Strata
60,Ku-Ring-Gai,2065.0,2266.0,243.0,2018-03-31,Greater Sydney,Middle Ring,House,1000.0,272.0,2405.0,Non Strata
